kernel_id,run_name,mode,kname,status,t_arrival,t_scheduled,t_configured,t_completed
0,parallel,Tiled,saxpy,COMPLETED,381664736416,381664736546,381664917843,381665097169
1,parallel,Tiled,saxpy,COMPLETED,381664917882,381665211676,381665260217,381665313470
2,parallel,Tiled,2mm,COMPLETED,381664917909,381665260223,381665264954,381671434205
3,parallel,Tiled,matmul,COMPLETED,381664917972,381665264976,381665267387,381671449386
4,parallel,Tiled,saxpy,COMPLETED,381664918017,381665267395,381665269679,381665313475
5,parallel,Tiled,2mm,COMPLETED,381664918040,381665269684,381665274397,381671464292
6,parallel,Tiled,2mm,COMPLETED,381664918080,381665274402,381665279034,381671479997
7,parallel,Tiled,2mm,COMPLETED,381664918135,381665279040,381665283716,381671489972
8,parallel,Tiled,saxpy,COMPLETED,381664918176,381665283722,381665286077,381665313480
9,parallel,Tiled,saxpy,COMPLETED,381664918192,381665286083,381665288496,381665313498
10,parallel,Tiled,2mm,COMPLETED,381664918224,381665313850,381665318444,381671570583
11,parallel,Tiled,saxpy,COMPLETED,381664918254,381665288502,381665290858,381665313499
12,parallel,Tiled,saxpy,COMPLETED,381664918310,381665290863,381665293210,381665313501
13,parallel,Tiled,saxpy,COMPLETED,381664918352,381665293216,381665295531,381665313503
14,parallel,Tiled,saxpy,COMPLETED,381664918376,381665318452,381665320798,381665330382
15,parallel,Tiled,saxpy,COMPLETED,381664918410,381665320804,381665323078,381665330384
16,parallel,Tiled,2mm,COMPLETED,381664918447,381671434250,381671438926,381678829239
17,parallel,Tiled,saxpy,COMPLETED,381664918480,381665323084,381665325456,381665330385
18,parallel,Tiled,saxpy,COMPLETED,381664918509,381665325459,381665327735,381665330387
19,parallel,Tiled,saxpy,COMPLETED,381664918540,381665327754,381665330096,381665340209
20,parallel,Tiled,saxpy,COMPLETED,381664918564,381665330637,381665332966,381665340210
21,parallel,Tiled,matmul,COMPLETED,381664918583,381665332974,381665335290,381671609980
22,parallel,Tiled,saxpy,COMPLETED,381664918605,381665335296,381665337615,381665340213
23,parallel,Tiled,saxpy,COMPLETED,381664918627,381665337619,381665339921,381665347564
24,parallel,Tiled,saxpy,COMPLETED,381664918646,381665340260,381665342570,381665347566
25,parallel,Tiled,matmul,COMPLETED,381664918687,381665342572,381665344915,381671627012
26,parallel,Tiled,saxpy,COMPLETED,381664918712,381665344935,381665347295,381665352671
27,parallel,Tiled,2mm,COMPLETED,381664918777,381671464320,381671468928,381678866542
28,parallel,Tiled,matmul,COMPLETED,381664918811,381665347602,381665349921,381671634607
29,parallel,Tiled,saxpy,COMPLETED,381664918834,381665349927,381665352389,381665355347
30,parallel,Tiled,matmul,COMPLETED,381664918858,381665352739,381665355081,381671641565
31,parallel,Tiled,saxpy,COMPLETED,381664918895,381665355407,381665357763,381665359532
32,parallel,Tiled,saxpy,COMPLETED,381664918952,381665359593,381665361891,381665363573
33,parallel,Tiled,saxpy,COMPLETED,381664918981,381665363596,381665365911,381665367635
34,parallel,Tiled,saxpy,COMPLETED,381664919026,381665367652,381665370041,381665371835
35,parallel,Tiled,matmul,COMPLETED,381664919047,381665371878,381665374211,381671666085
36,parallel,Tiled,saxpy,COMPLETED,381664919075,381671449438,381671451767,381671453610
37,parallel,Tiled,saxpy,COMPLETED,381664919105,381671453642,381671456023,381671457592
38,parallel,Tiled,saxpy,COMPLETED,381664919127,381671457668,381671459952,381671461679
39,parallel,Tiled,saxpy,COMPLETED,381664919138,381671461693,381671464026,381671469253
40,parallel,Tiled,saxpy,COMPLETED,381664919167,381671469298,381671471595,381671473156
41,parallel,Tiled,saxpy,COMPLETED,381664919249,381671473244,381671475575,381671477336
42,parallel,Tiled,saxpy,COMPLETED,381664919272,381671477358,381671479740,381671485017
43,parallel,Tiled,saxpy,COMPLETED,381664919307,381671480118,381671482450,381671485019
44,parallel,Tiled,matmul,COMPLETED,381664919344,381671482456,381671484813,381678890277
45,parallel,Tiled,matmul,COMPLETED,381664919383,381671485035,381671487416,381678893470
46,parallel,Tiled,2mm,COMPLETED,381664919411,381671490096,381671494828,381678901474
47,parallel,Tiled,saxpy,COMPLETED,381664919448,381671487421,381671489690,381671495107
48,parallel,Tiled,saxpy,COMPLETED,381664919485,381671495156,381671497463,381671499283
49,parallel,Tiled,saxpy,COMPLETED,381664919536,381671499304,381671501601,381671503331
50,parallel,Tiled,matmul,COMPLETED,381664919566,381671503363,381671505746,381678912221
51,parallel,Tiled,matmul,COMPLETED,381664919612,381671570629,381671572903,381678982898
52,parallel,Tiled,matmul,COMPLETED,381664919636,381671572906,381671575212,381678985477
53,parallel,Tiled,matmul,COMPLETED,381664919655,381671610042,381671612329,381679018837
54,parallel,Tiled,saxpy,COMPLETED,381664919674,381671627038,381671629361,381671631288
55,parallel,Tiled,matmul,COMPLETED,381664919696,381671631301,381671633613,381679039889
56,parallel,Tiled,saxpy,COMPLETED,381664919726,381671634708,381671637085,381671638934
57,parallel,Tiled,2mm,COMPLETED,381664919753,381678829296,381678834062,381686259272
58,parallel,Tiled,2mm,COMPLETED,381664919774,381678866588,381678871314,381686296637
59,parallel,Tiled,saxpy,COMPLETED,381664919813,381671638949,381671641296,381671644271
60,parallel,Tiled,saxpy,COMPLETED,381664919852,381671641616,381671643982,381671646914
61,parallel,Tiled,2mm,COMPLETED,381664919890,381678901504,381678906135,381686333253
62,parallel,Tiled,2mm,COMPLETED,381664919967,381686259300,381686264021,381693132471
63,parallel,Tiled,saxpy,COMPLETED,381664920044,381671644303,381671646642,381671649473
64,parallel,Tiled,saxpy,COMPLETED,381664920092,381671646941,381671649228,381671652031
65,parallel,Tiled,2mm,COMPLETED,381664920122,381686296666,381686301309,381693166653
66,parallel,Tiled,saxpy,COMPLETED,381664920147,381671649528,381671651758,381671654670
67,parallel,Tiled,matmul,COMPLETED,381664920196,381671652054,381671654393,381679062211
68,parallel,Tiled,saxpy,COMPLETED,381664920219,381671654704,381671657006,381671658934
69,parallel,Tiled,saxpy,COMPLETED,381664920236,381671658962,381671661400,381671663411
70,parallel,Tiled,saxpy,COMPLETED,381664920265,381671663437,381671665796,381671668851
71,parallel,Tiled,matmul,COMPLETED,381664920286,381671666138,381671668526,381679077294
72,parallel,Tiled,saxpy,COMPLETED,381664920308,381671668876,381671671196,381671673190
73,parallel,Tiled,saxpy,COMPLETED,381664920370,381671673211,381671675497,381671677532
74,parallel,Tiled,matmul,COMPLETED,381664920403,381671677614,381671679935,381679088577
75,parallel,Tiled,saxpy,COMPLETED,381664920430,381678890314,381678892649,381678896166
76,parallel,Tiled,saxpy,COMPLETED,381664920456,381678893518,381678895880,381678898831
77,parallel,Tiled,2mm,COMPLETED,381664920490,381686333300,381686337949,381693200350
