kernel_id,run_name,mode,kname,status,t_arrival,t_scheduled,t_configured,t_completed
0,sim_run,monolithic,kernel_0,COMPLETED,0,100,3100,3565
1,sim_run,monolithic,kernel_1,COMPLETED,1,3565,9565,1934305
2,sim_run,monolithic,kernel_2,COMPLETED,2,1934305,1937305,1937770
3,sim_run,monolithic,kernel_3,COMPLETED,3,1937770,1943770,3868510
4,sim_run,monolithic,kernel_4,COMPLETED,4,3868510,3874510,5799250
5,sim_run,monolithic,kernel_5,COMPLETED,5,5799250,5802250,5802715
6,sim_run,monolithic,kernel_6,COMPLETED,6,5802715,5808715,7733455
7,sim_run,monolithic,kernel_7,COMPLETED,7,7733455,7739455,9664195
8,sim_run,monolithic,kernel_8,COMPLETED,8,9664195,9667195,9667660
9,sim_run,monolithic,kernel_9,COMPLETED,9,9667660,9673660,11598400
10,sim_run,monolithic,kernel_10,COMPLETED,10,11598400,11601400,11601865
11,sim_run,monolithic,kernel_11,COMPLETED,11,11601865,11604865,11605330
12,sim_run,monolithic,kernel_12,COMPLETED,12,11605330,11608330,11608795
13,sim_run,monolithic,kernel_13,COMPLETED,13,11608795,11611795,11612260
14,sim_run,monolithic,kernel_14,COMPLETED,14,11612260,11618260,13543000
15,sim_run,monolithic,kernel_15,COMPLETED,15,13543000,13546000,13546465
16,sim_run,monolithic,kernel_16,COMPLETED,16,13546465,13549465,13549930
17,sim_run,monolithic,kernel_17,COMPLETED,17,13549930,13555930,15480670
18,sim_run,monolithic,kernel_18,COMPLETED,18,15480670,15483670,15484135
19,sim_run,monolithic,kernel_19,COMPLETED,19,15484135,15490135,17414875
20,sim_run,monolithic,kernel_20,COMPLETED,20,17414875,17417875,17418340
21,sim_run,monolithic,kernel_21,COMPLETED,21,17418340,17424340,19349080
22,sim_run,monolithic,kernel_22,COMPLETED,22,19349080,19352080,19352545
23,sim_run,monolithic,kernel_23,COMPLETED,23,19352545,19355545,19356010
24,sim_run,monolithic,kernel_24,COMPLETED,24,19356010,19359010,19359475
25,sim_run,monolithic,kernel_25,COMPLETED,25,19359475,19362475,19362940
26,sim_run,monolithic,kernel_26,COMPLETED,26,19362940,19368940,21293680
27,sim_run,monolithic,kernel_27,COMPLETED,27,21293680,21299680,23224420
28,sim_run,monolithic,kernel_28,COMPLETED,28,23224420,23230420,25155160
